"title","dayOut","dayIn","timeOut","meanTimeOut","devFromMean"
3,1197324060,1198183800,859740,117116005.349,-116256265.349
3,1197324060,1198261860,937800,117116005.349,-116178205.349
3,1197328080,1485068256,287740176,117116005.349,170624170.651
3,1197328080,1485068256,287740176,117116005.349,170624170.651
3,1197328080,1197683460,355380,117116005.349,-116760625.349
3,1197328080,1200348840,3020760,117116005.349,-114095245.349
3,1197328080,1200430320,3102240,117116005.349,-114013765.349
3,1197331500,1485068256,287736756,117116005.349,170620750.651
3,1197331500,1198988520,1657020,117116005.349,-115458985.349
3,1197331500,1199136120,1804620,117116005.349,-115311385.349
3,1197336900,1485068256,287731356,117116005.349,170615350.651
3,1197336960,1485068256,287731296,117116005.349,170615290.651
3,1197336960,1197573900,236940,117116005.349,-116879065.349
3,1197336960,1197696960,360000,117116005.349,-116756005.349
3,1197336960,1197914520,577560,117116005.349,-116538445.349
3,1197338040,1485068256,287730216,117116005.349,170614210.651
3,1197338040,1198006560,668520,117116005.349,-116447485.349
3,1197338040,1198100340,762300,117116005.349,-116353705.349
3,1197338040,1198180920,842880,117116005.349,-116273125.349
3,1197338160,1485068256,287730096,117116005.349,170614090.651
3,1197338160,1198198500,860340,117116005.349,-116255665.349
3,1197339480,1485068256,287728776,117116005.349,170612770.651
3,1197339480,1197757680,418200,117116005.349,-116697805.349
3,1197339480,1197919380,579900,117116005.349,-116536105.349
3,1197345180,1485068256,287723076,117116005.349,170607070.651
3,1197345180,1197944940,599760,117116005.349,-116516245.349
3,1197403260,1485068256,287664996,117116005.349,170548990.651
3,1197403260,1198008600,605340,117116005.349,-116510665.349
3,1197403260,1198205160,801900,117116005.349,-116314105.349
3,1197403260,1198265760,862500,117116005.349,-116253505.349
3,1197407940,1485068256,287660316,117116005.349,170544310.651
3,1197409020,1485068256,287659236,117116005.349,170543230.651
3,1197409020,1198281420,872400,117116005.349,-116243605.349
3,1197409020,1198739160,1330140,117116005.349,-115785865.349
3,1197411600,1197411600,0,117116005.349,-117116005.349
3,1197411600,1206633180,9221580,117116005.349,-107894425.349
3,1197411780,1485068256,287656476,117116005.349,170540470.651
3,1197411780,1197498000,86220,117116005.349,-117029785.349
3,1197412920,1485068256,287655336,117116005.349,170539330.651
3,1197412920,1198714020,1301100,117116005.349,-115814905.349
3,1197417660,1485068256,287650596,117116005.349,170534590.651
3,1197418020,1485068256,287650236,117116005.349,170534230.651
3,1197418020,1199315640,1897620,117116005.349,-115218385.349
3,1197425400,1485068256,287642856,117116005.349,170526850.651
3,1197425400,1199134680,1709280,117116005.349,-115406725.349
3,1197425520,1485068256,287642736,117116005.349,170526730.651
3,1197425520,1198957380,1531860,117116005.349,-115584145.349
3,1197426060,1485068256,287642196,117116005.349,170526190.651
3,1197426060,1198954800,1528740,117116005.349,-115587265.349
3,1197426060,1199326560,1900500,117116005.349,-115215505.349
3,1197426360,1485068256,287641896,117116005.349,170525890.651
3,1197427140,1485068256,287641116,117116005.349,170525110.651
3,1197431220,1485068256,287637036,117116005.349,170521030.651
3,1197431220,1197513180,81960,117116005.349,-117034045.349
3,1197431220,1198969860,1538640,117116005.349,-115577365.349
3,1197431220,1199125140,1693920,117116005.349,-115422085.349
3,1197484320,1485068256,287583936,117116005.349,170467930.651
3,1197484320,1198373820,889500,117116005.349,-116226505.349
3,1197490200,1485068256,287578056,117116005.349,170462050.651
3,1197491100,1485068256,287577156,117116005.349,170461150.651
3,1197491100,1199312880,1821780,117116005.349,-115294225.349
3,1197491100,1199507100,2016000,117116005.349,-115100005.349
3,1197491100,1199561760,2070660,117116005.349,-115045345.349
3,1197494100,1485068256,287574156,117116005.349,170458150.651
3,1197494100,1198712760,1218660,117116005.349,-115897345.349
3,1197494100,1198713780,1219680,117116005.349,-115896325.349
3,1197494100,1198782780,1288680,117116005.349,-115827325.349
3,1197495780,1485068256,287572476,117116005.349,170456470.651
3,1197495780,1198093440,597660,117116005.349,-116518345.349
3,1197495780,1198192440,696660,117116005.349,-116419345.349
3,1197495780,1198267740,771960,117116005.349,-116344045.349
3,1197497040,1485068256,287571216,117116005.349,170455210.651
3,1197497040,1198185960,688920,117116005.349,-116427085.349
3,1197497040,1198293060,796020,117116005.349,-116319985.349
3,1197497280,1485068256,287570976,117116005.349,170454970.651
3,1197497280,1197756660,259380,117116005.349,-116856625.349
3,1197498660,1485068256,287569596,117116005.349,170453590.651
3,1197498660,1198451160,952500,117116005.349,-116163505.349
3,1197498660,1198825140,1326480,117116005.349,-115789525.349
3,1197498660,1198957320,1458660,117116005.349,-115657345.349
3,1197500940,1485068256,287567316,117116005.349,170451310.651
3,1197501660,1485068256,287566596,117116005.349,170450590.651
3,1197501660,1198872600,1370940,117116005.349,-115745065.349
3,1197501660,1199304480,1802820,117116005.349,-115313185.349
3,1197502920,1485068256,287565336,117116005.349,170449330.651
3,1197514920,1485068256,287553336,117116005.349,170437330.651
3,1197514920,1198718400,1203480,117116005.349,-115912525.349
3,1197516000,1485068256,287552256,117116005.349,170436250.651
3,1197516000,1198719120,1203120,117116005.349,-115912885.349
3,1197518160,1485068256,287550096,117116005.349,170434090.651
3,1197582480,1485068256,287485776,117116005.349,170369770.651
3,1197582480,1198204920,622440,117116005.349,-116493565.349
3,1197582480,1199746140,2163660,117116005.349,-114952345.349
3,1197585960,1485068256,287482296,117116005.349,170366290.651
3,1197585960,1198791900,1205940,117116005.349,-115910065.349
3,1197592020,1485068256,287476236,117116005.349,170360230.651
3,1197592020,1198261200,669180,117116005.349,-116446825.349
3,1197594780,1485068256,287473476,117116005.349,170357470.651
3,1197600060,1485068256,287468196,117116005.349,170352190.651
3,1197600060,1198449600,849540,117116005.349,-116266465.349
3,1197600180,1485068256,287468076,117116005.349,170352070.651
3,1197604860,1485068256,287463396,117116005.349,170347390.651
3,1197604860,1198975980,1371120,117116005.349,-115744885.349
3,1197662640,1485068256,287405616,117116005.349,170289610.651
3,1197662640,1198192200,529560,117116005.349,-116586445.349
3,1197662640,1198959060,1296420,117116005.349,-115819585.349
3,1197662640,1199134080,1471440,117116005.349,-115644565.349
3,1197662640,1199135340,1472700,117116005.349,-115643305.349
3,1197676200,1485068256,287392056,117116005.349,170276050.651
3,1197676200,1198887180,1210980,117116005.349,-115905025.349
3,1197676200,1199125380,1449180,117116005.349,-115666825.349
3,1197678300,1485068256,287389956,117116005.349,170273950.651
3,1197678300,1198972860,1294560,117116005.349,-115821445.349
3,1197678480,1485068256,287389776,117116005.349,170273770.651
3,1197680640,1485068256,287387616,117116005.349,170271610.651
3,1197680640,1198888500,1207860,117116005.349,-115908145.349
3,1197683280,1485068256,287384976,117116005.349,170268970.651
3,1197683280,1200357060,2673780,117116005.349,-114442225.349
3,1197683340,1485068256,287384916,117116005.349,170268910.651
3,1197683340,1198863480,1180140,117116005.349,-115935865.349
3,1197744360,1485068256,287323896,117116005.349,170207890.651
3,1197744360,1198008720,264360,117116005.349,-116851645.349
3,1197744360,1198027860,283500,117116005.349,-116832505.349
3,1197744360,1198103040,358680,117116005.349,-116757325.349
3,1197756600,1485068256,287311656,117116005.349,170195650.651
3,1197756600,1198873380,1116780,117116005.349,-115999225.349
3,1197756600,1199398260,1641660,117116005.349,-115474345.349
3,1197757980,1485068256,287310276,117116005.349,170194270.651
3,1197757980,1199146080,1388100,117116005.349,-115727905.349
3,1197761160,1485068256,287307096,117116005.349,170191090.651
3,1197761160,1198005960,244800,117116005.349,-116871205.349
3,1197761160,1198179120,417960,117116005.349,-116698045.349
3,1197769260,1485068256,287298996,117116005.349,170182990.651
3,1197835740,1485068256,287232516,117116005.349,170116510.651
3,1197835740,1198000980,165240,117116005.349,-116950765.349
3,1197850620,1485068256,287217636,117116005.349,170101630.651
3,1197926040,1485068256,287142216,117116005.349,170026210.651
3,1197926040,1198704900,778860,117116005.349,-116337145.349
3,1197926040,1198786740,860700,117116005.349,-116255305.349
