checkOut,checkIn,title,yearOut,monthOut,weekOut
1226538360,1227474060,Thriller,2008,11,46
1228266840,1229216640,Thriller,2008,12,49
1228266840,1229452260,Thriller,2008,12,49
1228266840,1229555460,Thriller,2008,12,49
1232149680,1233278220,Thriller,2009,1,3
1199934900,0,"Number ones",2008,1,2
1203638460,0,"Number ones",2008,2,8
1205456880,0,"Number ones",2008,3,11
1208487480,0,"Number ones",2008,4,16
1209688320,0,"Number ones",2008,5,18
1210726020,0,"Number ones",2008,5,20
1211589240,0,"Number ones",2008,5,21
1213229340,0,"Number ones",2008,6,24
1215804420,0,"Number ones",2008,7,28
1217024580,0,"Number ones",2008,7,30
1218670860,0,"Number ones",2008,8,33
1219440780,0,"Number ones",2008,8,34
1222307400,0,"Number ones",2008,9,39
1222803540,0,"Number ones",2008,9,40
1223510100,0,"Number ones",2008,10,41
1225576740,0,"Number ones",2008,11,44
1226712540,0,"Number ones",2008,11,46
1227143040,0,"Number ones",2008,11,47
1228865820,0,"Number ones",2008,12,50
1233696360,0,"Number ones",2009,2,6
1234210980,0,"Number ones",2009,2,7
1234571340,0,"Number ones",2009,2,7
1235945100,0,"Number ones",2009,3,9
1238109000,0,"Number ones",2009,3,13
1238969400,0,"Number ones",2009,4,14
1243371960,0,"Number ones",2009,5,22
1243996260,0,"Number ones",2009,6,23
1245693960,0,"Number ones",2009,6,26
1245975540,0,"Number ones",2009,6,26
1247954340,0,"Number ones",2009,7,29
1249173540,0,"Number ones",2009,8,31
1250987100,0,"Number ones",2009,8,34
1252876800,0,"Number ones",2009,9,37
1255640460,0,"Number ones",2009,10,42
1256758920,0,"Number ones",2009,10,44
1259963700,0,"Number ones",2009,12,49
1260922320,0,"Number ones",2009,12,51
1263158220,0,"Number ones",2010,1,1
1264468500,0,"Number ones",2010,1,4
1265853420,0,"Number ones",2010,2,6
1266184980,0,"Number ones",2010,2,6
1268435640,0,"Number ones",2010,3,10
1269913620,0,"Number ones",2010,3,13
