"checkOut","checkIn","title","yearOut","monthOut","weekOut","count"
1238969400,0,7,2009,4,14,64
1243371960,0,7,2009,5,22,65
1243996260,0,7,2009,6,23,57
1245693960,0,7,2009,6,26,62
1245975540,0,7,2009,6,26,62
1247954340,0,7,2009,7,29,57
1249173540,0,7,2009,8,31,56
1250987100,0,7,2009,8,34,230
1252876800,0,7,2009,9,37,181
1255640460,0,7,2009,10,42,170
1256758920,0,7,2009,10,44,197
1259963700,0,7,2009,12,49,167
1260922320,0,7,2009,12,51,138
1263158220,0,7,2010,1,1,187
1264468500,0,7,2010,1,4,173
1265853420,0,7,2010,2,6,156
1266184980,0,7,2010,2,6,156
1268435640,0,7,2010,3,10,130
1269913620,0,7,2010,3,13,66
1270607340,0,7,2010,4,14,157
1275261240,0,7,2010,5,21,137
1276285860,0,7,2010,6,23,141
1199934900,1200706440,7,2008,1,2,51
1199934900,1201112940,7,2008,1,2,51
1199934900,1201200180,7,2008,1,2,51
1199934900,1202283960,7,2008,1,2,51
1199934900,1202355660,7,2008,1,2,51
1199934900,1203475140,7,2008,1,2,51
1199934900,1203535620,7,2008,1,2,51
1203638460,1205449140,7,2008,2,8,48
1205456880,1206749700,7,2008,3,11,75
1207601880,1208282880,7,2008,4,15,46
1207601880,1208387520,7,2008,4,15,46
1208487480,1208895660,7,2008,4,16,84
1208487480,1208993460,7,2008,4,16,84
1209688320,1210450920,7,2008,5,18,34
1209688320,1210618200,7,2008,5,18,34
1209688320,1210705140,7,2008,5,18,34
1210726020,1211394180,7,2008,5,20,66
1211589240,1212879780,7,2008,5,21,85
1211589240,1213131600,7,2008,5,21,85
1211589240,1213219860,7,2008,5,21,85
1213229340,1213995540,7,2008,6,24,74
1213229340,1214075940,7,2008,6,24,74
1213229340,1215058800,7,2008,6,24,74
1213229340,1215113880,7,2008,6,24,74
1215804420,1216248660,7,2008,7,28,80
1215804420,1216419180,7,2008,7,28,80
1215804420,1216594380,7,2008,7,28,80
1217024580,1217731980,7,2008,7,30,70
1217024580,1217898120,7,2008,7,30,70
1218670860,1219101240,7,2008,8,33,80
1218670860,1219284660,7,2008,8,33,80
1219440780,1220645700,7,2008,8,34,59
1220732700,1221700140,7,2008,9,36,60
1220732700,1221946380,7,2008,9,36,60
1222307400,1222628820,7,2008,9,39,76
1222803540,1223324760,7,2008,9,40,18
1225576740,1226375220,7,2008,11,44,7
1227143040,1228697820,7,2008,11,47,63
1233696360,1233874080,7,2009,2,6,83
1234210980,1234472940,7,2009,2,7,77
1234571340,1234734060,7,2009,2,7,77
1234571340,1235185740,7,2009,2,7,77
1234571340,1235339640,7,2009,2,7,77
1235945100,1237674360,7,2009,3,9,12
1235945100,1238002380,7,2009,3,9,12
1238109000,1238538540,7,2009,3,13,57
1238969400,1243024080,7,2009,4,14,64
1243371960,1243632420,7,2009,5,22,65
1243996260,1245615420,7,2009,6,23,57
1245693960,1245731940,7,2009,6,26,62
1245975540,1247342640,7,2009,6,26,62
1247954340,1248663420,7,2009,7,29,57
